Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,UP_HELI_MAX_mean,UP_HELI_MAX_max,UP_HELI_MAX_min,GRPL_MAX_mean,GRPL_MAX_max,GRPL_MAX_min,WSPD10MAX_mean,WSPD10MAX_max,WSPD10MAX_min,W_UP_MAX_mean,W_UP_MAX_max,W_UP_MAX_min,W_DN_MAX_mean,W_DN_MAX_max,W_DN_MAX_min,RVORT1_MAX_mean,RVORT1_MAX_max,RVORT1_MAX_min,RVORT5_MAX_mean,RVORT5_MAX_max,RVORT5_MAX_min,UP_HELI_MAX03_mean,UP_HELI_MAX03_max,UP_HELI_MAX03_min,UP_HELI_MAX01_mean,UP_HELI_MAX01_max,UP_HELI_MAX01_min,UP_HELI_MIN_mean,UP_HELI_MIN_max,UP_HELI_MIN_min,REFL_COM_mean,REFL_COM_max,REFL_COM_min,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,REFD_MAX_mean,REFD_MAX_max,REFD_MAX_min,PSFC_mean,PSFC_max,PSFC_min,T2_mean,T2_max,T2_min,Q2_mean,Q2_max,Q2_min,TD2_mean,TD2_max,TD2_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,SBLCL-potential_mean,SBLCL-potential_max,SBLCL-potential_min,MLLCL-potential_mean,MLLCL-potential_max,MLLCL-potential_min,SBCAPE-potential_mean,SBCAPE-potential_max,SBCAPE-potential_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,MUCAPE-potential_mean,MUCAPE-potential_max,MUCAPE-potential_min,SBCINH-potential_mean,SBCINH-potential_max,SBCINH-potential_min,MLCINH-potential_mean,MLCINH-potential_max,MLCINH-potential_min,USHR1-potential_mean,USHR1-potential_max,USHR1-potential_min,VSHR1-potential_mean,VSHR1-potential_max,VSHR1-potential_min,USHR6-potential_mean,USHR6-potential_max,USHR6-potential_min,VSHR6-potential_mean,VSHR6-potential_max,VSHR6-potential_min,U_BUNK-potential_mean,U_BUNK-potential_max,U_BUNK-potential_min,V_BUNK-potential_mean,V_BUNK-potential_max,V_BUNK-potential_min,SRH03-potential_mean,SRH03-potential_max,SRH03-potential_min,SRH01-potential_mean,SRH01-potential_max,SRH01-potential_min,PSFC-potential_mean,PSFC-potential_max,PSFC-potential_min,T2-potential_mean,T2-potential_max,T2-potential_min,Q2-potential_mean,Q2-potential_max,Q2-potential_min,TD2-potential_mean,TD2-potential_max,TD2-potential_min,U10-potential_mean,U10-potential_max,U10-potential_min,V10-potential_mean,V10-potential_max,V10-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110428-0000_12_12_000_00,d01_REFL_COM_20110428-0000_12_12_000,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-82.65593,33.89136,1675702.49957,-321471.86763,0.00000,0.00000,5.31954,15.83436,0.00000,5.46255,11.63499,0.83766,6.70968,8.16240,4.11936,9.69594,19.25969,2.32404,-2.70869,-1.60991,-3.64578,0.00096,0.00118,0.00069,0.00033,0.00063,0.00010,4.00396,5.62610,1.21130,0.01496,0.04316,0.00000,-4.09012,-0.40217,-9.80818,47.54107,59.74384,37.71886,35.79855,47.96048,-1.87510,40.88246,47.96048,27.04142,99544.27344,99846.82812,99116.64844,291.73978,292.51657,291.12430,0.01186,0.01232,0.01140,289.54404,290.16245,288.94672,2.84888,5.17227,0.94740,2.93230,5.81932,-0.76522,531.13550,611.08429,473.18713,1039.58606,1142.28186,965.46545,2.37124,7.76377,0.00000,0.00000,0.00000,0.00000,1536.14246,1694.32214,1392.78333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.41202,13.83056,9.00982,3.52571,5.71717,1.77129,22.31085,23.52152,21.09675,21.49896,22.13032,21.07869,20.04550,20.54123,19.28630,6.27299,6.80020,5.50660,91.80698,187.14661,17.59798,-88.59939,-63.49572,-104.39111,99389.83594,99831.09375,99011.83594,291.84485,292.26086,291.37796,0.01239,0.01289,0.01182,290.19617,290.88043,289.44769,3.14069,4.25355,2.25064,0.92064,1.82352,-0.21748,30,0.66667,7.11539,5.30347,-1.49705,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_001_00,d01_REFL_COM_20110428-0000_12_12_001,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-80.47757,36.07069,1817453.19961,-43943.17036,0.00000,0.00000,0.71586,2.43690,0.00000,2.80586,4.91278,0.72966,5.05014,6.37616,4.05772,4.04216,7.80084,1.55317,-2.04210,-1.15778,-3.15002,0.00070,0.00138,0.00013,0.00053,0.00102,0.00017,1.05910,1.94618,0.36638,0.12001,0.28439,0.02261,-4.26758,-0.27917,-8.47754,46.27944,59.55967,35.73913,34.16996,43.38107,20.28262,37.15494,43.38107,29.14084,98210.52344,98382.04688,97939.86719,291.60800,292.16446,290.96390,0.01242,0.01269,0.01210,290.05316,290.40179,289.64081,1.45872,3.61102,-0.01060,3.46631,4.73712,2.29179,649.30548,775.59583,453.44122,1181.96228,1257.44690,1001.71667,1.60143,27.02164,0.00000,0.00000,0.00000,0.00000,462.91476,581.38538,243.80771,-14.96849,0.00000,-208.39200,0.00000,0.00000,0.00000,12.77070,15.12731,9.28366,7.27357,9.64215,4.67755,25.52199,27.64982,23.55404,28.32830,30.93799,26.33458,20.14306,21.99685,18.46745,11.73589,12.70508,10.59298,155.30786,279.27402,75.24915,-15.71050,4.14847,-45.16273,98078.46094,98319.85938,97813.74219,290.96710,291.29871,290.53049,0.01211,0.01251,0.01190,289.63803,290.13019,289.36813,0.60261,2.81073,-1.46982,2.40216,4.65493,1.25793,24,0.71531,6.58452,4.60129,-1.16437,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_002_00,d01_REFL_COM_20110428-0000_12_12_002,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-78.97815,36.41081,1938696.16519,23619.19900,0.00000,0.00000,6.75862,15.62633,0.00000,4.10420,7.74229,0.70310,11.79822,12.45329,11.34483,5.79040,14.35794,1.26088,-1.88579,-0.83340,-3.40634,0.00040,0.00076,0.00018,0.00043,0.00075,0.00019,1.25550,4.18750,0.00000,0.00211,0.01237,0.00000,-0.66818,-0.10344,-1.67189,47.12711,57.65361,40.09760,42.97383,48.62747,34.51437,45.39221,49.41943,35.09567,98659.40625,99162.34375,98245.89062,294.19159,294.80478,293.74353,0.01510,0.01521,0.01499,293.17188,293.32486,293.04645,0.73333,1.47979,-0.03382,11.10831,12.41998,10.11747,184.42334,262.65744,146.69153,442.36465,487.19806,415.18958,720.68024,751.71484,698.42352,837.55646,873.22589,785.13330,1401.02368,1452.00684,1329.78015,-60.19061,-49.29010,-72.43498,-42.04068,-36.37469,-50.30703,16.33768,17.13503,15.16848,16.40794,18.63958,14.55242,26.53320,27.51113,25.91879,20.12258,21.05495,19.17970,15.99441,16.45157,15.80553,17.76078,18.03603,17.49607,391.05371,430.23004,363.59973,385.88089,423.03741,360.56213,98571.13281,99024.82031,98200.15625,293.66403,294.17026,293.41681,0.01483,0.01499,0.01472,292.87991,293.05826,292.73703,-0.92005,-0.44773,-1.46708,10.41736,11.56862,9.29013,22,0.39272,5.51951,5.07607,1.18058,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_003_00,d01_REFL_COM_20110428-0000_12_13_003,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-79.32226,36.63779,1903056.82724,40691.13292,0.00000,0.00000,9.85235,25.77537,0.00000,2.21300,5.31698,0.00014,10.50932,11.97012,8.80113,6.94955,13.75336,1.95628,-2.85226,-0.55311,-4.59584,0.00260,0.00365,0.00088,0.00231,0.00327,0.00012,6.30333,11.91494,0.34326,1.52809,2.40354,0.02536,-0.11104,0.00000,-1.31931,44.31034,57.74496,36.69947,39.14560,48.06076,25.11868,44.96767,48.38811,36.98248,98806.69531,99319.20312,98199.14062,292.22845,293.62836,291.17447,0.01297,0.01467,0.01209,290.79718,292.79260,289.68866,6.15639,9.47503,2.65367,3.73320,5.38108,2.19431,260.93683,321.24432,181.30833,453.96222,475.91650,426.19135,672.73212,722.58820,290.33868,730.40735,819.21790,148.94862,1277.97876,1436.57874,929.52594,-34.42355,-15.29626,-75.13646,-26.50266,-10.09890,-138.56105,10.92821,15.89934,-0.10498,14.41768,16.77876,9.99155,22.87860,25.41729,17.38011,21.77070,27.93844,19.49428,18.51253,21.07840,17.03255,17.45579,18.39355,14.20972,293.56546,348.04364,233.76691,264.43091,334.16968,83.18023,98634.80469,99106.14844,98139.45312,293.93613,294.48196,292.59131,0.01461,0.01472,0.01393,292.65222,292.81528,291.82028,2.22494,7.89760,-0.09103,9.14021,11.39571,2.45334,40,0.84259,9.98430,5.37715,0.96531,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_003_01,d01_REFL_COM_20110428-0000_12_13_003,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 13:00:00,13,13,2,-79.36870,36.57249,1900759.00255,32709.74260,0.00000,-9000.00000,5.54291,16.37547,0.02581,2.93796,5.99723,0.05404,7.38007,9.69019,5.12034,6.09465,10.49294,1.68378,-2.76088,-1.78427,-4.04239,0.00085,0.00152,0.00037,0.00037,0.00053,0.00008,3.20027,7.17221,0.00000,0.14438,0.35253,0.02036,-1.66106,-0.02793,-5.03291,47.32752,63.03651,37.39711,37.70517,47.46136,18.85350,44.07066,47.98666,37.88533,98998.01562,99421.62500,98447.44531,292.35846,293.37408,291.49582,0.01229,0.01290,0.01162,290.00745,290.76135,289.17273,3.05849,5.55005,1.65519,3.80989,6.08323,2.01729,350.25558,402.34964,317.18054,741.97467,857.67065,605.29993,7.70919,97.84484,0.00000,0.01271,0.40663,0.00000,524.60327,728.62250,296.31732,-18.23911,0.00000,-226.64131,0.00000,0.00000,0.00000,8.28629,11.44899,2.57520,9.32943,10.97083,6.97481,17.05696,19.61673,10.86084,24.94288,27.25624,22.90989,21.30076,22.69641,19.67206,12.82576,13.79041,11.60198,183.03000,333.20309,55.05637,29.12095,64.00861,1.82177,98947.53125,99176.64844,98602.34375,292.11676,292.64737,291.45129,0.01280,0.01337,0.01233,290.62579,291.32690,290.02475,5.13820,8.48451,2.65367,3.12637,5.38108,2.11002,32,0.70334,7.52755,5.35097,1.46636,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_004_00,d01_REFL_COM_20110428-0000_12_12_004,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-79.10012,36.87321,1915971.05837,70616.68741,0.00000,0.00000,12.30938,33.92859,0.13703,2.73639,10.20106,0.00004,10.39095,12.46764,9.04849,7.02354,14.59805,1.75387,-2.48218,-0.59911,-4.62961,0.00256,0.00410,0.00070,0.00216,0.00350,0.00051,8.79595,18.29615,0.00000,1.27425,2.83667,0.00000,-0.26302,0.00000,-1.87282,45.15173,64.82279,35.32823,38.56273,47.43443,17.42436,43.81076,48.84747,36.25551,98873.11719,99394.84375,98231.69531,292.13406,294.11423,291.07358,0.01300,0.01484,0.01229,290.85077,292.98077,290.00394,5.11234,8.51972,2.01177,3.57247,7.21320,0.67132,252.33748,291.11169,197.91100,469.93448,736.16803,433.02747,671.27112,733.84747,616.66803,677.57257,805.42352,94.13665,1123.28735,1401.48975,575.68658,-20.26752,0.00000,-61.16750,-21.56340,0.00000,-127.58442,12.71310,17.12993,5.29018,14.56865,20.19358,-2.15363,23.96239,28.77812,14.84842,19.87230,26.21619,17.00864,18.43966,21.56865,15.70652,17.69975,19.32466,12.59654,320.75565,463.34244,105.58763,266.90796,383.01907,-53.77784,98726.98438,99169.74219,98180.23438,293.96866,294.31891,293.25204,0.01466,0.01478,0.01452,292.71957,292.87921,292.52298,1.70639,6.43859,-0.70933,9.80799,11.83790,5.56694,75,0.74241,13.35089,8.94431,0.83997,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_005_00,d01_REFL_COM_20110428-0000_12_12_005,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-79.29285,37.21532,1890490.35478,103270.00034,0.00000,0.00000,2.18124,23.24092,0.00000,3.71528,7.68521,0.54235,8.31252,11.79912,5.20636,5.63660,11.78061,1.64362,-2.28935,-0.63107,-3.66817,0.00074,0.00394,0.00003,0.00067,0.00351,0.00013,1.99932,8.10907,0.00000,0.11801,2.68592,0.00000,-5.07751,0.00000,-17.31596,45.90892,61.32525,35.31665,37.70794,45.20454,18.25020,43.88673,49.38609,21.10180,98259.84375,99195.75781,97455.53125,291.90222,293.36017,289.87003,0.01186,0.01399,0.01043,289.30978,292.03644,287.28174,3.90240,7.96499,1.60797,4.65857,8.52264,-0.16700,442.93298,662.06409,160.78271,830.84460,1085.61414,419.67548,133.73032,714.53705,0.00000,69.86692,784.14087,0.00000,374.18689,939.41327,160.50421,-24.59127,0.00000,-125.76421,-7.92717,0.00000,-153.78824,13.83061,18.48987,3.05496,8.27725,14.88790,0.95770,22.75130,29.10503,19.05939,27.96889,30.60310,18.02991,22.39266,25.06016,18.10624,13.59929,17.87739,11.90386,170.82594,366.70541,92.87028,0.47138,377.90744,-66.50211,98108.57812,98950.64844,97344.03125,291.93469,294.08832,289.90326,0.01281,0.01470,0.01058,290.46634,292.77216,287.53070,4.31071,8.02295,-1.14405,3.60421,11.47543,1.80919,104,0.86453,17.39369,8.74166,0.56796,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_006_00,d01_REFL_COM_20110428-0000_12_12_006,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-78.79429,37.36523,1929044.57707,129822.67343,0.00000,0.00000,11.05631,27.11121,0.00495,4.33982,10.62047,0.02362,10.95629,13.63019,7.86824,7.22573,12.47302,2.26873,-2.55081,-1.57785,-4.05165,0.00233,0.00471,0.00045,0.00196,0.00405,0.00000,6.23025,16.05244,0.00000,1.47068,3.36331,0.00000,-5.03468,0.00000,-15.36162,44.01977,58.64034,35.04419,38.12787,47.44910,18.73333,47.54037,52.13708,39.75546,98453.12500,99077.37500,97799.05469,292.21365,293.76779,291.09067,0.01310,0.01462,0.01111,290.88623,292.65979,288.46161,3.81874,7.21093,1.66516,4.05375,7.59317,0.53237,249.30328,427.62744,154.62842,531.50690,878.25104,415.19162,409.99460,660.79797,0.00000,490.77859,825.64075,0.00000,901.77753,1353.93213,128.90102,-52.24000,0.00000,-134.63458,-43.29367,0.00000,-162.90233,10.74120,15.44530,-0.95252,15.61613,20.76612,6.67477,21.60627,31.99578,8.31397,18.64291,28.88256,9.17413,17.46299,23.61338,11.65443,17.39098,22.53300,10.81922,332.27313,535.08875,20.46004,241.36876,394.75327,-86.90097,98287.47656,99004.57812,97630.85156,292.82150,293.81693,290.42014,0.01395,0.01466,0.01155,291.82291,292.66312,289.03531,2.11479,10.18415,-1.78075,8.59197,13.23314,0.10822,78,0.88209,14.64732,6.89999,0.93459,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_007_00,d01_REFL_COM_20110428-0000_12_13_007,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-77.56581,38.50104,2001458.49951,277836.09040,0.00000,0.00000,5.77409,53.35571,0.00000,2.32303,15.79099,0.03575,10.17555,14.84085,7.66040,4.36282,18.43253,0.58229,-1.90413,-0.26679,-4.48825,0.00150,0.00520,0.00027,0.00110,0.00507,0.00000,2.79082,20.50086,0.00000,0.45094,4.02405,0.00000,-1.31343,0.00000,-9.59489,42.85635,66.31632,35.07700,40.12059,53.32891,17.11852,43.31093,53.53413,32.94531,99463.75781,100527.77344,95962.70312,293.20520,294.34409,290.50662,0.01427,0.01489,0.01210,292.40649,293.12830,289.27899,1.14490,9.29403,-3.74163,6.78387,13.19219,-0.28322,242.22343,501.52051,143.85696,632.62018,1253.05725,410.34003,371.91205,617.57617,18.77717,385.53531,674.14331,2.73685,496.33777,995.73120,164.14148,-148.86002,-4.57868,-369.48639,-136.16609,-0.36751,-322.24463,10.56627,19.07556,-0.23689,22.87096,28.71482,0.04131,25.99405,35.18646,12.28966,20.99157,32.24705,12.60229,13.65923,20.86825,9.15888,19.93029,22.24881,16.40591,439.34296,889.05884,208.28201,358.43365,560.74451,12.98999,99395.78906,100351.97656,95936.92969,293.20755,294.12097,290.71799,0.01406,0.01479,0.01225,292.16257,293.00085,289.90790,-1.66896,4.29878,-6.17575,7.28707,11.22075,4.66689,560,0.88216,54.78421,25.80105,-1.30430,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_007_01,d01_REFL_COM_20110428-0000_12_13_007,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 13:00:00,13,13,2,-77.81324,37.92559,1996828.78458,210962.44128,-6000.00000,-81000.00000,8.28672,79.06983,0.00000,2.74987,15.11222,0.04675,9.84917,14.06979,5.84004,5.92427,19.06393,0.77103,-2.54685,-0.43138,-5.77826,0.00204,0.00452,0.00000,0.00146,0.00335,0.00000,4.40573,33.46170,0.00000,0.81249,3.28969,0.00000,-1.45175,0.00000,-10.30901,42.90208,68.85686,35.11573,37.92286,51.90413,0.00000,43.68110,52.00503,31.39354,99660.49219,100523.05469,97297.43750,292.23602,295.17142,289.45438,0.01283,0.01554,0.01021,290.71555,293.76285,286.90900,4.30287,9.89649,-0.44464,5.30357,11.80551,0.13862,276.96234,779.47180,169.49448,571.02539,1120.30017,417.48502,406.58896,764.77448,0.00000,363.28897,820.97437,0.00000,775.99469,1466.40759,0.00000,-42.19964,0.00000,-262.57474,-44.12997,0.00000,-229.51270,13.89924,20.25913,-0.80918,14.64878,24.97318,0.49776,20.90216,25.87168,11.57586,24.37704,30.69595,13.10502,19.62922,24.10535,14.96743,18.90315,24.66832,14.04718,232.56258,440.41623,-131.29852,185.57773,419.44287,-103.49149,99572.75000,100398.38281,97227.82812,293.54767,294.81302,290.50662,0.01414,0.01504,0.01154,292.24973,293.25983,288.78506,2.38544,9.29403,-0.84365,8.05474,11.97104,0.51189,470,0.51483,41.19619,35.31713,-0.83451,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_008_00,d01_REFL_COM_20110428-0000_12_13_008,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-77.70221,38.96848,1976978.41629,324733.27164,0.00000,0.00000,1.50003,8.38196,0.00000,1.68950,3.99167,0.20620,9.45176,11.60598,7.29317,4.56611,8.40375,1.00342,-1.84181,-0.93643,-3.07841,0.00148,0.00562,0.00025,0.00101,0.00487,0.00012,1.55461,10.95052,0.00000,0.41571,3.20420,0.00000,-2.58676,0.00000,-7.41512,44.88700,62.74930,35.11987,39.59459,51.62610,25.98327,43.09208,51.63696,28.96887,98663.46094,99773.32031,96407.46094,292.44656,293.70706,290.85062,0.01331,0.01450,0.01126,291.16269,292.67184,288.39343,3.56533,6.88186,-0.97700,6.66495,10.69246,2.78676,395.84726,509.03125,229.99390,672.19781,881.01306,499.28333,195.59923,294.54626,109.93681,189.65556,358.07672,3.33280,268.17004,478.86798,156.62425,-70.35762,-2.47747,-170.41362,-59.17003,-4.00967,-142.96078,9.04013,17.15911,4.06215,20.32177,25.42628,8.79340,23.07051,31.59370,15.25285,22.84261,26.65059,18.96559,17.09008,20.03059,12.53066,20.44070,22.43522,18.82103,306.98801,403.72412,180.30338,236.19966,353.28030,86.61642,98563.06250,99682.47656,96349.11719,293.00406,293.82715,291.65756,0.01331,0.01370,0.01270,291.18427,291.62381,290.58160,1.89998,3.71471,-2.12570,8.48857,11.30404,6.78480,142,0.78805,18.82436,11.58851,0.79564,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_008_01,d01_REFL_COM_20110428-0000_12_13_008,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 13:00:00,13,13,2,-76.63919,39.65835,2044881.77480,421793.78920,60000.00000,90000.00000,6.18937,21.94059,0.00000,1.93981,6.53576,0.05472,10.62804,14.85269,6.57586,4.03470,10.85170,0.75978,-1.42473,-0.18749,-3.54401,0.00148,0.00610,0.00030,0.00128,0.00410,0.00008,3.21735,19.57996,0.00000,0.34711,2.54872,0.00000,-0.94538,0.00000,-10.61304,42.50187,64.37701,35.00175,40.58904,51.81815,31.51604,44.87207,51.93643,33.55835,98600.75781,100486.43750,97278.89844,291.62784,293.16287,289.90060,0.01291,0.01386,0.01131,290.68704,292.09558,288.51926,3.41950,8.52616,-2.22199,7.91759,14.34087,0.71725,320.00986,580.39282,161.97725,837.40747,1487.07141,437.68134,162.94542,255.47617,67.45242,128.76532,396.44193,0.00000,217.22235,488.19659,98.76488,-136.05997,-3.04326,-358.72372,-104.97515,0.00000,-260.75702,13.41986,17.35804,6.73304,21.53087,25.23626,10.14499,22.39035,29.34254,12.13671,21.79161,28.27445,17.06956,15.86625,19.28625,12.49362,22.04596,24.67690,18.90227,228.32230,453.00488,128.73776,231.11322,359.67017,55.72664,98464.82812,100484.66406,97099.68750,292.29391,293.42349,290.96948,0.01324,0.01364,0.01177,291.08426,291.75418,289.40979,0.80164,3.29640,-2.13829,8.43871,11.49541,4.90479,354,0.83893,30.15328,16.41048,1.42933,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_12_009_00,d01_REFL_COM_20110428-0000_12_12_009,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-74.53886,43.55035,2092859.87208,882919.24230,0.00000,0.00000,4.00929,16.23216,0.00000,1.18970,3.84656,0.04396,9.70789,12.89102,6.71212,2.47068,5.72038,0.33622,-0.66916,-0.00230,-1.47011,0.00104,0.00361,0.00014,0.00049,0.00206,0.00000,1.48652,5.77676,0.00000,0.08374,0.50905,0.00000,-0.25172,0.00000,-1.41053,42.05125,58.41653,35.16940,38.77703,49.30620,26.34631,41.87561,49.69638,26.34631,92522.89062,94921.82812,90604.21875,289.11044,290.67749,282.76050,0.01225,0.01283,0.00855,288.87823,289.71738,282.75665,-3.41041,-1.10591,-6.42038,8.18087,10.93726,5.25617,152.10582,163.96222,144.50378,515.39679,709.37988,423.01331,389.71759,599.01978,55.58344,309.64148,487.44580,158.76389,524.96375,694.01801,447.53326,-18.16409,0.00000,-103.40848,-18.32287,-0.01207,-56.85260,12.27755,16.59049,10.05884,13.24222,17.80625,9.91507,14.60218,16.80375,12.13024,23.80341,26.99200,21.19334,11.30375,12.46120,10.27134,20.88735,21.73912,20.06400,194.04312,249.37909,148.98630,171.88634,255.93767,122.86974,92598.30469,94940.68750,90695.95312,289.51132,290.53857,282.61389,0.01259,0.01303,0.00853,289.31137,290.00760,282.61008,-2.42443,-0.76236,-5.41356,7.77080,9.60999,4.64199,153,0.81001,18.59019,10.90171,1.11121,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_010_00,d01_REFL_COM_20110428-0000_12_13_010,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 12:00:00,12,12,1,-74.71548,44.11961,2061293.04561,939276.37031,0.00000,0.00000,3.38819,23.16043,0.00000,1.12625,5.59688,0.02360,9.76417,11.96897,7.81512,2.12145,8.26061,0.29312,-0.92999,-0.15156,-1.81647,0.00093,0.00365,0.00000,0.00056,0.00292,0.00000,1.55742,16.10927,0.00000,0.05251,0.95727,0.00000,-0.41285,0.00000,-6.30903,41.57544,63.53378,35.00810,38.63854,51.02408,30.30715,42.08120,51.25226,30.30715,93939.17969,96024.34375,92513.71094,290.48691,291.89890,283.82123,0.01269,0.01291,0.00894,289.65759,289.97617,283.81836,-2.60999,1.74999,-6.17461,6.49899,9.75904,2.64306,250.54695,444.68323,149.89404,558.18219,715.32855,422.88977,558.34497,712.30920,221.45209,336.88113,675.02167,136.58965,578.94659,758.77875,417.52795,-1.64626,0.00000,-8.54041,-5.55630,0.00000,-37.91794,9.93002,13.89096,7.58774,14.27323,18.72633,10.75538,13.38031,16.23901,7.51025,24.79936,27.20553,22.00631,12.32613,13.78817,10.82236,20.13866,22.39194,17.90112,179.28467,332.51593,84.08687,171.45682,334.01968,100.52319,94037.47656,96166.10156,92585.54688,290.88370,292.75314,283.15457,0.01280,0.01320,0.00851,289.80698,290.65942,283.15118,-1.30488,-0.09981,-3.23200,9.36917,11.36803,7.02810,248,0.77711,24.55896,15.45655,1.15076,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_12_13_010_01,d01_REFL_COM_20110428-0000_12_13_010,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 13:00:00,13,13,2,-73.71337,44.66688,2119596.33430,1020378.85449,63000.00000,72000.00000,2.09105,18.20526,0.00000,0.43060,2.59946,0.02807,9.02655,12.58628,5.38924,1.40951,5.50476,0.17963,-0.86849,0.00000,-2.06014,0.00057,0.00303,0.00000,0.00043,0.00213,0.00000,0.65449,9.78068,0.00000,0.05005,0.54310,0.00000,-0.07626,0.00000,-1.09099,40.32512,55.72378,35.10727,38.42643,48.13646,31.70275,40.87785,49.30781,34.40571,96034.01562,99011.25781,90911.57812,289.79672,291.29614,288.09637,0.01189,0.01235,0.01139,289.01950,289.69455,287.93112,-2.82296,1.14357,-7.67209,7.04573,9.83503,1.63114,237.10017,500.30246,138.45306,584.84082,957.85602,408.53131,42.25113,226.90869,0.00000,41.15403,135.28348,0.00000,81.62437,226.90869,0.00000,-58.44511,0.00000,-254.36873,-81.35789,0.00000,-172.59834,11.59918,15.88725,6.62186,12.82889,16.60109,8.47576,17.24485,20.11734,12.32112,23.95938,29.47032,19.13522,11.37660,12.98426,8.50917,19.30256,22.15213,16.88503,199.63582,328.81036,134.18690,185.59695,322.53607,104.33705,96052.83594,98989.51562,90984.21094,290.16565,291.91101,288.21277,0.01203,0.01248,0.01161,289.20856,289.90561,287.92725,-3.14020,-0.00131,-6.73529,7.59053,11.69016,2.86410,244,0.87693,27.65230,13.29000,0.98201,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_13_13_011_00,d01_REFL_COM_20110428-0000_13_13_011,NCARSTORM,d01,2011-04-28 00:00:00,2011-04-28 13:00:00,13,13,1,-81.77537,34.22163,1747276.56810,-269072.16215,-6000.00000,3000.00000,3.28448,17.17437,0.02608,3.13084,10.55797,0.58533,7.40560,8.85095,6.03545,5.72174,15.85990,1.37911,-2.26315,-1.01048,-3.40499,0.00156,0.00201,0.00105,0.00041,0.00071,0.00018,3.04509,6.38722,0.04227,0.17436,0.28470,0.09997,-4.85692,0.00000,-13.90491,44.24507,56.32996,36.23029,39.14092,47.09509,0.00000,43.13968,47.57670,34.40256,99540.25000,99754.07812,99208.64844,291.39203,292.13675,290.86688,0.01141,0.01204,0.01082,288.94760,289.78781,288.10654,4.28853,6.41203,1.80494,3.57776,6.22329,1.80740,545.51599,638.36261,455.28677,1085.13525,1206.52344,941.99390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1202.06140,1509.20605,1033.61621,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.29534,13.02574,4.58429,4.51267,6.95856,2.29422,20.64326,22.02833,18.66073,20.46434,21.71801,18.87668,19.31680,20.73636,18.34732,8.02376,9.03012,7.12310,167.02406,363.53711,50.02345,-41.13718,-8.67219,-67.01660,99467.71094,99680.77344,99134.37500,291.79761,292.47339,291.27618,0.01209,0.01260,0.01177,289.83231,290.47104,289.40259,3.17438,5.07574,1.90098,2.78330,4.23159,1.02312,56,0.80318,11.22388,6.68641,0.39479,0,0,0,0,0,0
